Date,Event,Count,Notes,Location
Sept. 21,Celliola,150,,Little Bridges
Sept. 24,Francisco Aguabella,75-82,Fluid movement,Lyman Hall
Sept. 28,Davitt Moroney,124,,Little Bridges
Oct. 4,Millennium Consort Singers,250,,Little Bridges
Oct. 11,Pomona College Orchestra,245,,Little Bridges
Oct. 12,Pomona College Orchestra,282,,Little Bridges
Oct. 25,Pelev/Ashcraft,130,,Little Bridges
Oct. 29,Student Recital,80,Fluid movement,Lyman Hall
Nov. 2,William Peterson,120,by Graydon in audience,Little Bridges
Nov. 3,Amir ElSaffar Lecture/Demo,15,Monday after Halloween/first of month,Lyman Hall
Nov. 15,Wright & Moss,108,Fires,Little Bridges
Nov. 16,Gomez/Preston Jr./Sr. Recital,cancelled,,Lyman Hall
Nov. 19,Viver Brasil Demonstration/Lect,?,,Lyman Hall
Nov. 21,Pomona College Band,100,,Little Bridges
Nov. 23,Pomona College Band,113,,Little Bridges
Dec. 1,Pomona College Afro-Cuban Ensemble,120,,Lyman Hall
Dec. 5,Pomona College Choir,398,messiah,Little Bridges
Dec. 6,Pomona College Orchestra,?,,Garrison Theatre
Dec. 7,Pomona College Choir,558,messiah,Little Bridges
Dec. 7,Pomona College Orchestra,?,,Garrison Theatre
Dec. 8,Giri Kusuma,~150,,Little Bridges
Dec. 9,Student Recital,?,,Lyman Hall
Dec. 10,Student Recital,?,,Lyman Hall
,,,,
2009,,,,
Feb. 6,Friday Noon Concert,100,,Lyman Hall
Feb. 7,Lee Recital,234,rainy,Little Bridges
Feb. 14,Bradford and Mo'Tet,292,Valentines Day / family wkend,Little Bridges
Feb. 18,Korean Trio,70,,Lyman Hall
Feb. 20,Ussachevsky,~230,,Lyman Hall
Feb. 22,20th & 21st C. Chamber Music,104,Academy Awards day,Little Bridges
Feb. 25,Student Recital,35,at one time - up to 100 total,Lyman Hall
Feb. 27,Pomona College Orchestra,260,,Little Bridges
March. 1,Pomona College Orchestra,215,,Little Bridges
Mar. 4,Kenny Endo Lect/Demo,125,,Lyman Hall
Mar. 6,Ranz & Friends Chamber Music,90,,Little Bridges
Mar. 7,Jr. Recital / Welds & Guitar Quartet,100,,Lyman Hall
Mar. 8,"Wm. Peterson, Bach",182,,Little Bridges
Mar. 9,A. Troitsky Lecture,25,,Lyman Hall
Mar. 28,"Berman, piano",221,,Little Bridges
Mar. 29,"Lytle & Lee, 'Women's Voices'",61,,Little Bridges
Mar. 31,Senior Recital / Dietterich,135,,Lyman Hall
Ap. 1,Student Recital,35,at one time - up to 100 total,Lyman Hall
Ap. 3,Sr. Recital / G. Chen,57,,Little Bridges
Ap. 4,Albert McNeil Jubilee Singers,335,,Little Bridges
Ap. 5,Mojave Trio,82,,Little Bridges
Ap. 11,Sr. Recital / Heath,77,,Little Bridges
Ap. 12,Sr. Recital / Nuchi,100,,Little Bridges
Ap. 17,Yoon-Chan Kim (Jr. Recital),80,,Lyman Hall
Ap. 18,Sr. Recital / Randall-Myers,106,,Lyman Hall
Ap. 24,PC Choir & Orchestra,275,,Little Bridges
Ap. 25,Sr. Recital / Silva,250,,Lyman Hall
Ap. 26,PC Choir & Orchestra,367,,Little Bridges
Ap. 27,Afro-Cuban Ensemble,130,,Lyman Hall
Ap. 30,Pomona College Glee Club,181,,Little Bridges
May. 2,Pomona College Glee Club,470,Alumni Weekend,Little Bridges
May. 2,Pomona College Band,304,Alumni Weekend,Little Bridges
May. 3,Pomona College Band,109,,Little Bridges
May. 4,Giri Kusuma,,,Little Bridges
May. 5,Student Recital,70,,Lyman Hall
May. 6,Student Recital,50,,Lyman Hall
May. 7,Taiko,65,,Lyman Hall
May. 10,Minofest:,75,,Lyman Hall
May. 15,Ph iBeta Kappa Installation,270,Commencement Event,Lyman Hall
5/3,Memorial Convocation,73,Glee sings / Alumni Weekend,Little Bridges
